,title,title_lower,review,sentiment
0,Avatar: The Last Airbender,avatar: the last airbender,A stalwart example of allegory's power to inform and inspire instead of merely offering escape.,1
1,Avatar: The Last Airbender,avatar: the last airbender,"Great characters, detailed fantasy worldbuilding, serious themes and a deep respect for the Asian cultures that inspired it make Avatar a must-watch.",1
2,Avatar: The Last Airbender,avatar: the last airbender,"[In season 3,] Aang holds to his principles. That is heroic.",1
3,Avatar: The Last Airbender,avatar: the last airbender,"[Season 3] doesn't skimp on the action, even as it excels at philosophizing.",1
4,Avatar: The Last Airbender,avatar: the last airbender,"After ramping the story up and drawing it back down so many times, Avatar: The Last Airbender manages to end its story with [hitting] all of the right notes.",1
5,Avatar: The Last Airbender,avatar: the last airbender,I couldn't possibly fathom how perfect each character would pan out. Everyone had a voice; every creature had a purpose and meaning... This story moved and kept us moving right along with it from beginning to end.,1
6,Avatar: The Last Airbender,avatar: the last airbender,"""Avatar: The Last Airbender"" is not only the best animated series of the last decade, but one of the best shows ever produced.",1
7,The Staircase,the staircase,"If you’re familiar with the case and you’ve seen the original documentary, there’s not much new to glean. But the fresh perspective and the performances are more than enough to justify its existence.",1
8,The Staircase,the staircase,"With spectacular performances and a new perspective, The Staircase is a compelling retelling of already known events.",1
9,The Staircase,the staircase,The ambiguity in this powerful enigma surrounding the high-profile case that inspired two series - documentary and fiction - is a key element in keeping us hooked from the beginning to the end. [Full review in Spanish],1
10,The Staircase,the staircase,"True crime is not something to be toyed with, and The Staircase, for all the beautiful work put into it, toys with viewers instead of finding the salient truths about the case.",0
11,The Staircase,the staircase,The Staircase makes tantalizing equivalences between the filmmaking process and the justice system.,1
12,The Staircase,the staircase,"Startling and compelling, this true crime miniseries wrings new juice from a well-worn criminal case with deft and involving characterizations from a powerhouse cast.",1
13,The Staircase,the staircase,"In The Staircase Mark Two, highly complex events are revealed in flashbacks so numerous that no momentum is ever able to build. Just as a scene starts getting interesting, we're whipped back to a different year altogether.",0
14,The Staircase,the staircase,"This version of the Staircase is riveting and brilliantly acted from start to finish. And if you haven't watched the docuseries, you can approach the material from a fresh, unbiased angle.",1
15,The Staircase,the staircase,"Also starring Michael Stuhlberg, Juliette Binoche and Rosemarie DeWitt, this is a fascinating portrait of grief and perspectives as well as an intriguing whodunit.",1
16,The Staircase,the staircase,The Staircase gave us eight episodes of scintillating true-crime drama. It also turned wig acting into a competitive sport.,1
17,The Staircase,the staircase,"Without belaboring the point, let me just say that this new, dramatized version of the story is very well made, and includes a terrific performance by Parker Posey as Peterson’s priggish prosecuting attorney.",1
18,The Staircase,the staircase,A masterfully composed and tonally strong drama that captures the same unsettling vibe which bewitched fans of the docuseries.,1
19,The Staircase,the staircase,"Perfect material worth binging.
[Full review in Spanish]",1
