,id,title,title_lower,type,description,release_year,country_code,country,genre,seasons,age_certification,age_group,runtime,runtime_type,imdb_score,imdb_votes,tmdb_popularity,tmdb_score
0,ts300399,Five Came Back: The Reference Films,five came back: the reference films,SHOW,"This collection includes 12 World War II-era propaganda films — many of which are graphic and offensive — discussed in the docuseries ""Five Came Back.""",1945,US,United States of America,documentation,1,TV-MA,adults,51,long,-1.0,-1,0.6,-1.0
1,tm84618,Taxi Driver,taxi driver,MOVIE,A mentally unstable Vietnam War veteran works as a night-time taxi driver in New York City where the perceived decadence and sleaze feed his urge for violent action.,1976,US,United States of America,drama,0,R,adults,114,long,8.2,808582,40.965,8.179
2,tm154986,Deliverance,deliverance,MOVIE,"Intent on seeing the Cahulawassee River before it's turned into one huge lake, outdoor fanatic Lewis Medlock takes his friends on a river-rafting trip they'll never forget into the dangerous American back-country.",1972,US,United States of America,drama,0,R,adults,109,long,7.7,107673,10.01,7.3
3,tm127384,Monty Python and the Holy Grail,monty python and the holy grail,MOVIE,"King Arthur, accompanied by his squire, recruits his Knights of the Round Table, including Sir Bedevere the Wise, Sir Lancelot the Brave, Sir Robin the Not-Quite-So-Brave-As-Sir-Lancelot and Sir Galahad the Pure. On the way, Arthur battles the Black Knight who, despite having had all his limbs chopped off, insists he can still fight. They reach Camelot, but Arthur decides not  to enter, as ""it is a silly place"".",1975,GB,United Kingdom of Great Britain and Northern Ireland,fantasy,0,PG,supervised,91,long,8.2,534486,15.461,7.811
4,tm120801,The Dirty Dozen,the dirty dozen,MOVIE,"12 American military prisoners in World War II are ordered to infiltrate a well-guarded enemy château and kill the Nazi officers vacationing there. The soldiers, most of whom are facing death sentences for a variety of violent crimes, agree to the mission and the possible commuting of their sentences.",1967,GB,United Kingdom of Great Britain and Northern Ireland,war,0,not specified,not specified,150,long,7.7,72662,20.398,7.6
5,ts22164,Monty Python's Flying Circus,monty python's flying circus,SHOW,"A British sketch comedy series with the shows being composed of surreality, risqué or innuendo-laden humour, sight gags and observational sketches without punchlines.",1969,GB,United Kingdom of Great Britain and Northern Ireland,comedy,4,TV-14,supervised,30,short,8.8,73424,17.617,8.306
6,tm70993,Life of Brian,life of brian,MOVIE,"Brian Cohen is an average young Jewish man, but through a series of ridiculous events, he gains a reputation as the Messiah. When he's not dodging his followers or being scolded by his shrill mother, the hapless Brian has to contend with the pompous Pontius Pilate and acronym-obsessed members of a separatist movement. Rife with Monty Python's signature absurdity, the tale finds Brian's life paralleling Biblical lore, albeit with many more laughs.",1979,GB,United Kingdom of Great Britain and Northern Ireland,comedy,0,R,adults,94,long,8.0,395024,17.77,7.8
7,tm14873,Dirty Harry,dirty harry,MOVIE,"When a madman dubbed 'Scorpio' terrorizes San Francisco, hard-nosed cop, Harry Callahan – famous for his take-no-prisoners approach to law enforcement – is tasked with hunting down the psychopath. Harry eventually collars Scorpio in the process of rescuing a kidnap victim, only to see him walk on technicalities. Now, the maverick detective is determined to nail the maniac himself.",1971,US,United States of America,thriller,0,R,adults,102,long,7.7,155051,12.817,7.5
8,tm119281,Bonnie and Clyde,bonnie and clyde,MOVIE,"In the 1930s, bored waitress Bonnie Parker falls in love with an ex-con named Clyde Barrow and together they start a violent crime spree through the country, stealing cars and robbing banks.",1967,US,United States of America,crime,0,R,adults,110,long,7.7,112048,15.687,7.5
9,tm98978,The Blue Lagoon,the blue lagoon,MOVIE,"Two small children and a ship's cook survive a shipwreck and find safety on an idyllic tropical island. Soon, however, the cook dies and the young boy and girl are left on their own. Days become years and Emmeline and Richard make a home for themselves surrounded by exotic creatures and nature's beauty. But will they ever see civilization again?",1980,US,United States of America,romance,0,R,adults,104,long,5.8,69844,50.324,6.156
